user_id,converted,cnt_checkout_started,cnt_course_detail_viewed,cnt_course_searched,cnt_lesson_completed,cnt_lesson_started,cnt_page_viewed,cnt_plan_selected,cnt_pricing_page_viewed,cnt_quiz_submitted,cnt_session_started,cnt_subscribe,total_study_minutes,avg_session_minutes,session_count,done_checkout_started,done_lesson_completed,done_onboarding_completed,done_plan_selected,done_quiz_submitted,done_subscribe
U-05001,1,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,16.316666666666666,8.158333333333333,2.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05002,1,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,8.683333333333334,8.683333333333334,1.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05003,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05004,0,0.0,3.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,21.433333333333334,7.144444444444445,3.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05005,1,1.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,3.0,0.0,28.25,9.416666666666666,3.0,1.0,1.0,1.0,1.0,0.0,0.0
U-05006,1,1.0,0.0,3.0,2.0,3.0,10.0,2.0,4.0,1.0,6.0,0.0,45.016666666666666,7.502777777777777,6.0,1.0,1.0,1.0,1.0,1.0,0.0
U-05007,0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,11.633333333333333,5.816666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05008,0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,5.0,0.0,24.266666666666666,6.066666666666666,4.0,1.0,1.0,1.0,1.0,0.0,0.0
U-05009,0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,8.75,4.375,2.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05010,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,11.633333333333333,11.633333333333333,1.0,0.0,1.0,1.0,0.0,0.0,0.0
U-05011,0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,13.233333333333333,6.616666666666666,2.0,0.0,1.0,1.0,0.0,1.0,0.0
U-05012,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.75,6.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0
U-05013,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0,19.516666666666666,6.5055555555555555,3.0,0.0,0.0,0.0,0.0,0.0,0.0
U-05014,0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,26.166666666666668,6.541666666666667,4.0,0.0,1.0,0.0,1.0,1.0,0.0
